auction_number,accepted_amount_2nd_round,maturity_date,amount_to_central_bank,quantity_accepted_2nd_round,quantity_accepted,rate,auction_type,auction_date,accepted_amount,benchmark,quantity_tendered,bond_type,quantity_to_central_bank,settlement_date,total_amount_accepted,bond
12,299085726.61,2021-03-01,0.0,45648.0,2000000,0.012,Venda,2015-01-08,13104007063.6,LFT 6 anos,2000000,LFT,0,2015-01-09,13403092790.21,LFT 2021-03
11,20754706.57,2015-10-01,0.0,22629.0,2000000,12.7249,Venda,2015-01-08,1834345889.25,LTN 06 meses,2000000,LTN,0,2015-01-09,1855100595.82,LTN 2015-10
11,239833926.68,2017-07-01,0.0,321286.0,2500000,12.6289,Venda,2015-01-08,1866202751.1,LTN 24 meses,2500000,LTN,0,2015-01-09,2106036677.78,LTN 2017-07
11,41935731.27,2019-01-01,0.0,66943.0,2560600,12.59,Venda,2015-01-08,1604060670.78,LTN 48 meses,3000000,LTN,0,2015-01-09,1645996402.05,LTN 2019-01
13,256846161.34,2021-01-01,0.0,282796.0,1026000,12.454,Venda,2015-01-08,931852506.75,NTN-F 07 anos,1500000,NTN-F,0,2015-01-09,1188698668.09,NTN-F 2021-01
13,495063979.24,2025-01-01,0.0,565600.0,2500000,12.4099,Venda,2015-01-08,2188224802.55,NTN-F 10 anos,3000000,NTN-F,0,2015-01-09,2683288781.79,NTN-F 2025-01
16,104981755.08,2055-05-15,0.0,41454.0,269000,6.04,Venda,2015-01-13,681239256.38,NTN-B 40 anos,300000,NTN-B,0,2015-01-14,786221011.46,NTN-B 2055-05
16,35303499.16,2023-05-15,0.0,13817.0,574400,5.93,Venda,2015-01-13,1467636239.68,NTN-B 10 anos,750000,NTN-B,0,2015-01-14,1502939738.8400002,NTN-B 2023-05
16,79947022.72,2019-05-15,0.0,31314.0,175600,5.8897,Venda,2015-01-13,448320150.51,NTN-B 05 anos,750000,NTN-B,0,2015-01-14,528267173.23,NTN-B 2019-05
16,888071.49,2035-05-15,0.0,350.0,31000,6.03,Venda,2015-01-13,78657761.08,NTN-B 20 anos,300000,NTN-B,0,2015-01-14,79545832.57,NTN-B 2035-05
24,148000908.16,2017-07-01,0.0,197110.0,1000000,12.4678,Venda,2015-01-15,750854387.45,LTN 24 meses,1000000,LTN,0,2015-01-16,898855295.61,LTN 2017-07
24,440989661.84,2019-01-01,0.0,699204.0,3500000,12.4549,Venda,2015-01-15,2207458504.82,LTN 48 meses,3500000,LTN,0,2015-01-16,2648448166.6600003,LTN 2019-01
24,207396085.75,2016-04-01,0.0,239168.0,2000000,12.6869,Venda,2015-01-15,1734312999.75,LTN 12 meses,2000000,LTN,0,2015-01-16,1941709085.5,LTN 2016-04
37,204596808.18,2015-10-01,0.0,221969.0,2000000,12.689,Venda,2015-01-22,1843471910.82,LTN 06 meses,2000000,LTN,0,2015-01-23,2048068719.0,LTN 2015-10
38,13035149.4,2021-01-01,0.0,14000.0,1500000,11.95,Venda,2015-01-22,1396623150.52,NTN-F 07 anos,1500000,NTN-F,0,2015-01-23,1409658299.92,NTN-F 2021-01
37,6796202.59,2017-07-01,0.0,9000.0,950000,12.31,Venda,2015-01-22,717376941.0,LTN 24 meses,1000000,LTN,0,2015-01-23,724173143.59,LTN 2017-07
37,21111665.88,2019-01-01,0.0,33000.0,3500000,12.1147,Venda,2015-01-22,2239116079.45,LTN 48 meses,3500000,LTN,0,2015-01-23,2260227745.33,LTN 2019-01
38,33489349.93,2025-01-01,0.0,37000.0,2500000,11.8949,Venda,2015-01-22,2262793914.77,NTN-F 10 anos,2500000,NTN-F,0,2015-01-23,2296283264.7,NTN-F 2025-01
48,0.0,2055-05-15,0.0,0.0,113050,5.93,Venda,2015-01-27,293219486.96,NTN-B 40 anos,300000,NTN-B,0,2015-01-28,293219486.96,NTN-B 2055-05
48,0.0,2035-05-15,0.0,0.0,34700,5.8999,Venda,2015-01-27,90036379.71,NTN-B 20 anos,300000,NTN-B,0,2015-01-28,90036379.71,NTN-B 2035-05
48,293870688.53,2023-05-15,0.0,113567.0,459500,5.85,Venda,2015-01-27,1189021294.97,NTN-B 10 anos,1000000,NTN-B,0,2015-01-28,1482891983.5,NTN-B 2023-05
48,193319459.77,2019-05-15,0.0,75007.0,303750,5.84,Venda,2015-01-27,782870744.39,NTN-B 05 anos,1000000,NTN-B,0,2015-01-28,976190204.16,NTN-B 2019-05
49,0.0,2019-01-01,0.0,0.0,0,0.0,Compra,2015-01-28,0.0,,3000000,NTN-F,0,2015-01-29,0.0,NTN-F 2019-01
54,0.0,2016-04-01,0.0,0.0,2000000,12.6899,Venda,2015-01-29,1742501458.36,LTN 12 meses,2000000,LTN,0,2015-01-30,1742501458.36,LTN 2016-04
54,53096381.92,2017-07-01,0.0,70144.0,1000000,12.3049,Venda,2015-01-29,756962561.63,LTN 24 meses,1000000,LTN,0,2015-01-30,810058943.55,LTN 2017-07
54,398378460.5,2019-01-01,0.0,621845.0,3500000,12.139,Venda,2015-01-29,2242238196.7,LTN 48 meses,3500000,LTN,0,2015-01-30,2640616657.2,LTN 2019-01
75,37023629.2,2015-10-01,0.0,40000.0,1734350,12.7949,Venda,2015-02-05,1605298282.3,LTN 06 meses,2000000,LTN,0,2015-02-06,1642321911.5,LTN 2015-10
75,0.0,2019-01-01,0.0,0.0,3500000,12.4239,Venda,2015-02-05,2225554375.13,LTN 48 meses,3500000,LTN,0,2015-02-06,2225554375.13,LTN 2019-01
76,0.0,2021-01-01,0.0,0.0,1500000,12.3449,Venda,2015-02-05,1381507604.52,NTN-F 07 anos,1500000,NTN-F,0,2015-02-06,1381507604.52,NTN-F 2021-01
75,0.0,2017-07-01,0.0,0.0,750000,12.5589,Venda,2015-02-05,566012794.34,LTN 24 meses,750000,LTN,0,2015-02-06,566012794.34,LTN 2017-07
