Data do Leilão,Data de Vencimento,Taxa (%),Quantidade Aceita,Valor Aceito (R$),Tipo de Título,Preço de Emissão (R$),Dias Úteis,Data de Liquidação,Título,Preço Calculado (R$),Diferença
2015-01-08,2021-01-01,12.454,1026000,931852506.75,NTN-F,908.2383106725147,1500,2015-01-09,F21,907.771036471009,0.4672742015056883
2015-01-08,2025-01-01,12.4099,2500000,2188224802.55,NTN-F,875.2899210200001,2505,2015-01-09,F25,874.7158745583807,0.5740464616193321
2015-01-22,2021-01-01,11.95,1500000,1396623150.52,NTN-F,931.0821003466666,1490,2015-01-23,F21,930.7231077222061,0.35899262446048397
2015-01-22,2025-01-01,11.8949,2500000,2262793914.77,NTN-F,905.117565908,2495,2015-01-23,F25,904.4738230409753,0.6437428670246845
2015-01-28,2019-01-01,0.0,0,0.0,NTN-F,,982,2015-01-29,F19,1390.4707853612126,
2015-02-05,2021-01-01,12.3449,1500000,1381507604.52,NTN-F,921.00506968,1480,2015-02-06,F21,920.2560932193389,0.7489764606610834
2015-02-05,2025-01-01,12.2499,2000000,1782702292.34,NTN-F,891.35114617,2485,2015-02-06,F25,890.7254134404966,0.6257327295033974
2015-02-19,2025-01-01,12.774,2000000,1738329850.66,NTN-F,869.1649253300001,2477,2015-02-20,F25,868.696802788571,0.4681225414291248
2015-02-19,2021-01-01,12.869,1500000,1358480666.3,NTN-F,905.6537775333333,1472,2015-02-20,F21,904.7829291568316,0.8708483765016126
2015-03-05,2021-01-01,12.83,1500000,1366429785.76,NTN-F,910.9531905066667,1462,2015-03-06,F21,910.5201074308841,0.4330830757826334
2015-03-05,2025-01-01,12.835,500000,435352824.21,NTN-F,870.70564842,2467,2015-03-06,F25,869.9802857792669,0.725362640733124
2015-03-19,2023-01-01,0.0,0,0.0,NTN-F,,1954,2015-03-20,F23,1780.9415707224252,
2015-03-19,2021-01-01,13.1197,1500000,1358192266.55,NTN-F,905.4615110333333,1452,2015-03-20,F21,904.752962875144,0.7085481581892736
2015-03-19,2025-01-01,13.1149,1500000,1294130143.25,NTN-F,862.7534288333334,2457,2015-03-20,F25,861.1899537296551,1.563475103678229
2015-04-02,2021-01-01,12.9879,3000000,2742383074.32,NTN-F,914.12769144,1442,2015-04-03,F21,913.7629079348615,0.3647835051385755
2015-04-02,2025-01-01,12.9623,3000000,2619912596.95,NTN-F,873.3041989833333,2447,2015-04-03,F25,872.4339442139708,0.870254769362532
2015-04-16,2025-01-01,12.6444,4500000,4013774784.66,NTN-F,891.9499521466666,2438,2015-04-17,F25,891.123620498865,0.8263316478016804
2015-04-16,2021-01-01,12.6749,4000000,3716893821.9,NTN-F,929.223455475,1433,2015-04-17,F21,928.7056941397616,0.5177613352384469
2015-04-30,2021-01-01,12.83,3000000,2784318256.24,NTN-F,928.1060854133333,1424,2015-05-01,F21,927.2457170482339,0.8603683650993617
2015-04-30,2025-01-01,12.7989,3000000,2667087145.61,NTN-F,889.0290485366667,2429,2015-05-01,F25,887.6525416323841,1.3765069042825644
2015-05-14,2021-01-01,12.8049,3690000,3440381222.17,NTN-F,932.3526347344174,1415,2015-05-15,F21,932.1233125881414,0.22932214627599024
2015-05-14,2025-01-01,12.735,1467050,1313536107.67,NTN-F,895.3587864558127,2420,2015-05-15,F25,894.4689257367962,0.8898607190164967
2015-05-28,2025-01-01,12.42,3000000,2741007663.0,NTN-F,913.669221,2410,2015-05-29,F25,913.6691998746002,2.1125399825905333e-05
2015-05-28,2021-01-01,12.559,2500000,2363447105.3,NTN-F,945.3788421200001,1405,2015-05-29,F21,945.1505157882348,0.22832633176528816
2015-06-11,2025-01-01,12.7,1000000,904633074.28,NTN-F,904.63307428,2401,2015-06-12,F25,904.2276090486125,0.4054652313874385
2015-06-11,2021-01-01,12.8449,2000000,1879018758.64,NTN-F,939.5093793200001,1396,2015-06-12,F21,939.2539873937126,0.2553919262875297
2015-06-25,2023-01-01,0.0,0,0.0,NTN-F,,1888,2015-06-26,F23,1780.9415707224252,
2015-06-25,2021-01-01,12.84,3000000,2832432045.08,NTN-F,944.1440150266667,1386,2015-06-26,F21,943.9364661574152,0.2075488692514682
2015-06-25,2025-01-01,12.6637,1000000,910465604.55,NTN-F,910.46560455,2391,2015-06-26,F25,910.2279751852468,0.2376293647531611
2015-07-08,2021-01-01,12.699,1500000,1356381575.53,NTN-F,904.2543836866666,1377,2015-07-09,F21,903.8885019570959,0.3658817295707877
2015-07-08,2025-01-01,12.579,1000000,869144100.0,NTN-F,869.1441,2382,2015-07-09,F25,869.1441338282353,-3.3828235359578684e-05
2015-07-15,2017-01-01,13.59,261500,251003410.75,NTN-F,959.8600793499044,369,2015-07-16,F17,959.9414144062839,-0.08133505637954386
2015-07-23,2021-01-01,12.8647,150000,135463992.55,NTN-F,903.0932836666667,1366,2015-07-24,F21,902.9850905273438,0.10819313932290697
2015-07-23,2025-01-01,12.8129,50000,43137200.0,NTN-F,862.744,2371,2015-07-24,F25,862.7480407799005,-0.004040779900492453
2015-08-06,2025-01-01,13.6099,150000,124777223.86,NTN-F,831.8481590666667,2361,2015-08-07,F25,831.2631642267615,0.5849948399051073
2015-08-06,2021-01-01,13.5449,150000,132741712.8,NTN-F,884.944752,1356,2015-08-07,F21,884.8174932644627,0.1272587355373389
2015-08-20,2021-01-01,13.67,1500000,1328201822.7,NTN-F,885.4678818,1346,2015-08-21,F21,885.2522054193196,0.2156763806804065
2015-08-20,2025-01-01,13.8309,750000,619844838.79,NTN-F,826.4597850533332,2351,2015-08-21,F25,826.0055478315101,0.4542372218231776
2015-09-17,2025-01-01,0.0,0,0.0,NTN-F,,2332,2015-09-18,F25,1927.36811523288,
2015-09-17,2021-01-01,15.3599,150000,126346465.85,NTN-F,842.3097723333333,1327,2015-09-18,F21,842.2053198471892,0.104452486144055
2015-09-17,2023-01-01,0.0,0,0.0,NTN-F,,1829,2015-09-18,F23,1732.1327225522737,
2015-09-21,2025-01-01,16.02,650000,486192751.3,NTN-F,747.9888481538462,2330,2015-09-22,F25,749.50497845107,-1.5161302972237536
2015-09-21,2017-01-01,0.0,0,0.0,NTN-F,,322,2015-09-22,F17,1146.4265445104547,
2015-09-21,2021-01-01,15.9997,50000,41237018.05,NTN-F,824.7403609999999,1325,2015-09-22,F21,824.7403608111351,1.888647602754645e-07
2015-09-24,2025-01-01,16.9,16000,11523756.48,NTN-F,720.23478,2327,2015-09-25,F25,720.2347619815707,1.801842927307007e-05
2015-09-24,2021-01-01,16.9,860000,688567990.06,NTN-F,800.6604535581395,1322,2015-09-25,F21,801.2778918726958,-0.6174383145563525
2015-09-24,2017-01-01,0.0,0,0.0,NTN-F,,319,2015-09-25,F17,1146.4265445104547,
2015-09-25,2025-01-01,15.95,35000,26382820.17,NTN-F,753.7948620000001,2326,2015-09-26,F25,753.7948439737634,1.80262367166506e-05
2015-09-25,2017-01-01,0.0,0,0.0,NTN-F,,318,2015-09-26,F17,1146.4265445104547,
2015-09-25,2021-01-01,0.0,0,0.0,NTN-F,,1321,2015-09-26,F21,1536.8973298716674,
2015-09-28,2025-01-01,0.0,0,0.0,NTN-F,,2325,2015-09-29,F25,1927.36811523288,
2015-09-28,2017-01-01,0.0,0,0.0,NTN-F,,317,2015-09-29,F17,1146.4265445104547,
2015-09-28,2021-01-01,0.0,0,0.0,NTN-F,,1320,2015-09-29,F21,1536.8973298716674,
2015-09-29,2018-01-01,0.0,0,0.0,NTN-F,,565,2015-09-30,F18,1244.044240850758,
2015-09-29,2025-01-01,16.35,250000,185114646.0,NTN-F,740.458584,2324,2015-09-30,F25,740.45856636073,1.7639270026847953e-05
2015-09-29,2021-01-01,16.39,200000,163346690.0,NTN-F,816.73345,1319,2015-09-30,F21,816.7334368175639,1.3182436077840975e-05
2015-09-30,2025-01-01,0.0,0,0.0,NTN-F,,2323,2015-10-01,F25,1927.36811523288,
2015-09-30,2018-01-01,15.91,55000,50780151.01,NTN-F,923.2754729090909,564,2015-10-01,F18,923.2754658755293,7.033561587377335e-06
2015-09-30,2021-01-01,0.0,0,0.0,NTN-F,,1318,2015-10-01,F21,1536.8973298716674,
2015-10-01,2025-01-01,15.4799,25000,19320575.0,NTN-F,772.823,2322,2015-10-02,F25,772.8258837158085,-0.002883715808479792
2015-10-01,2018-01-01,0.0,0,0.0,NTN-F,,563,2015-10-02,F18,1244.044240850758,
2015-10-01,2021-01-01,15.5499,5000,4207392.36,NTN-F,841.478472,1317,2015-10-02,F21,841.4813473391745,-0.0028753391744658074
2015-10-02,2017-01-01,0.0,0,0.0,NTN-F,,313,2015-10-03,F17,1146.4265445104547,
2015-10-02,2025-01-01,15.43,200000,155026958.0,NTN-F,775.13479,2321,2015-10-03,F25,775.134772558855,1.7441144905205874e-05
2015-10-02,2021-01-01,0.0,0,0.0,NTN-F,,1316,2015-10-03,F21,1536.8973298716674,
2015-10-15,2025-01-01,15.9499,50000,37990484.6,NTN-F,759.809692,2313,2015-10-16,F25,759.5752013098434,0.2344906901566901
2015-10-15,2021-01-01,15.8249,50000,41898797.55,NTN-F,837.9759509999999,1308,2015-10-16,F21,837.9787753868388,-0.0028243868389381532
2015-10-29,2021-01-01,15.8349,500000,421423618.5,NTN-F,842.847237,1298,2015-10-30,F21,842.5957448504594,0.2514921495405815
2015-10-29,2025-01-01,15.84,300000,230514768.1,NTN-F,768.3825603333333,2303,2015-10-30,F25,768.0195603014834,0.3630000318499924
2015-11-12,2025-01-01,15.6099,1000000,780785191.35,NTN-F,780.78519135,2294,2015-11-13,F25,780.4706955309882,0.3144958190117677
2015-11-12,2021-01-01,15.5979,2000000,1708141747.5,NTN-F,854.07087375,1289,2015-11-13,F21,853.7363612566955,0.3345124933044872
2015-11-26,2021-01-01,15.5999,1000000,858601641.5,NTN-F,858.6016415,1279,2015-11-27,F21,858.604457482234,-0.00281598223398305
2015-11-26,2025-01-01,15.5599,500000,393407683.5,NTN-F,786.815367,2284,2015-11-27,F25,786.8190385363173,-0.003671536317256141
2015-12-10,2025-01-01,0.0,0,0.0,NTN-F,,2274,2015-12-11,F25,1927.36811523288,
2015-12-10,2023-01-01,0.0,0,0.0,NTN-F,,1771,2015-12-11,F23,1732.1327225522737,
2015-12-10,2021-01-01,15.7199,1000000,860392311.03,NTN-F,860.39231103,1269,2015-12-11,F21,860.1847697222859,0.20754130771410928
2016-01-14,2027-01-01,16.369,3000000,2095219500.0,NTN-F,698.4065,2754,2016-01-15,F27,698.4065025340187,-2.5340186766698025e-06
2016-01-14,2023-01-01,16.32,500000,380021882.62,NTN-F,760.04376524,1748,2016-01-15,F23,759.9979691906647,0.04579604933530845
2016-01-27,2017-01-01,14.61,300000,291196890.0,NTN-F,970.6563,234,2016-01-28,F17,970.6563053563113,-5.356311362447741e-06
2016-01-28,2023-01-01,16.4,1000000,762667838.72,NTN-F,762.6678387200001,1738,2016-01-29,F23,762.0399479259581,0.6278907940419458
2016-01-28,2027-01-01,16.7099,1000000,690655103.25,NTN-F,690.65510325,2744,2016-01-29,F27,690.3931636193508,0.2619396306491808
2016-02-11,2027-01-01,16.3699,1000000,706835432.36,NTN-F,706.83543236,2736,2016-02-12,F27,705.9774225670706,0.8580097929294652
2016-02-11,2023-01-01,16.0199,1000000,778391072.78,NTN-F,778.39107278,1730,2016-02-12,F23,777.8352658461322,0.5558069338677569
2016-02-25,2023-01-01,15.5349,1500000,1198315231.76,NTN-F,798.8768211733334,1720,2016-02-26,F23,798.2604778864197,0.6163432869136614
2016-02-25,2027-01-01,15.8989,2000000,1456886295.75,NTN-F,728.443147875,2726,2016-02-26,F27,727.6827381662928,0.7604097087072432
2016-03-10,2027-01-01,14.6599,2000000,1563496885.2,NTN-F,781.7484426,2716,2016-03-11,F27,781.1863549955101,0.562087604489875
2016-03-10,2023-01-01,14.375,2720000,2294089124.02,NTN-F,843.415119125,1710,2016-03-11,F23,842.5236393034826,0.8914798215174642
2016-03-24,2025-01-01,0.0,0,0.0,NTN-F,,2203,2016-03-25,F25,1878.5592670627284,
2016-03-24,2027-01-01,14.2399,2000000,1610045159.7,NTN-F,805.02257985,2706,2016-03-25,F27,803.2975993103258,1.7249805396742204
2016-03-24,2023-01-01,14.075,1500000,1286707801.0,NTN-F,857.8052006666667,1700,2016-03-25,F23,857.7188630459689,0.0863376206978046
2016-04-07,2027-01-01,14.2499,1000000,807203534.09,NTN-F,807.2035340900001,2697,2016-04-08,F27,806.6939748110557,0.5095592789443799
2016-04-07,2023-01-01,14.1869,1500000,1287011139.4,NTN-F,858.0074262666667,1691,2016-04-08,F23,857.762210165291,0.2452161013757177
