Título,Data do Leilão,Data de Pagamento,Dias Úteis,Valor do Cupom (R$),Valor Presente (R$),taxa
F21,2015-01-09,2015-07-01,117,48.80884817015158,46.22,0.12454000000000001
F21,2015-01-09,2016-01-01,245,48.80884817015158,43.55,0.12454000000000001
F21,2015-01-09,2016-07-01,369,48.80884817015158,41.1,0.12454000000000001
F21,2015-01-09,2017-01-01,496,48.80884817015158,38.74,0.12454000000000001
F21,2015-01-09,2017-07-01,620,48.80884817015158,36.57,0.12454000000000001
F21,2015-01-09,2018-01-01,745,48.80884817015158,34.5,0.12454000000000001
F21,2015-01-09,2018-07-01,869,48.80884817015158,32.56,0.12454000000000001
F21,2015-01-09,2019-01-01,995,48.80884817015158,30.71,0.12454000000000001
F21,2015-01-09,2019-07-01,1118,48.80884817015158,29.0,0.12454000000000001
F21,2015-01-09,2020-01-01,1248,48.80884817015158,27.29,0.12454000000000001
F21,2015-01-09,2020-07-01,1371,48.80884817015158,25.77,0.12454000000000001
F21,2015-01-09,2021-01-01,1499,48.80884817015158,24.28,0.12454000000000001
F21,2015-01-09,2021-01-01,1499,1000.0,497.49,0.12454000000000001
F25,2015-01-09,2015-07-01,117,48.80884817015158,46.23,0.124099
F25,2015-01-09,2016-01-01,245,48.80884817015158,43.56,0.124099
F25,2015-01-09,2016-07-01,369,48.80884817015158,41.13,0.124099
F25,2015-01-09,2017-01-01,496,48.80884817015158,38.77,0.124099
F25,2015-01-09,2017-07-01,620,48.80884817015158,36.6,0.124099
F25,2015-01-09,2018-01-01,745,48.80884817015158,34.54,0.124099
F25,2015-01-09,2018-07-01,869,48.80884817015158,32.61,0.124099
F25,2015-01-09,2019-01-01,995,48.80884817015158,30.75,0.124099
F25,2015-01-09,2019-07-01,1118,48.80884817015158,29.05,0.124099
F25,2015-01-09,2020-01-01,1248,48.80884817015158,27.35,0.124099
F25,2015-01-09,2020-07-01,1371,48.80884817015158,25.83,0.124099
F25,2015-01-09,2021-01-01,1499,48.80884817015158,24.34,0.124099
F25,2015-01-09,2021-07-01,1622,48.80884817015158,22.99,0.124099
F25,2015-01-09,2022-01-01,1750,48.80884817015158,21.66,0.124099
F25,2015-01-09,2022-07-01,1874,48.80884817015158,20.45,0.124099
F25,2015-01-09,2023-01-01,2001,48.80884817015158,19.28,0.124099
F25,2015-01-09,2023-07-01,2125,48.80884817015158,18.2,0.124099
F25,2015-01-09,2024-01-01,2250,48.80884817015158,17.17,0.124099
F25,2015-01-09,2024-07-01,2374,48.80884817015158,16.21,0.124099
F25,2015-01-09,2025-01-01,2504,48.80884817015158,15.26,0.124099
F25,2015-01-09,2025-01-01,2504,1000.0,312.74,0.124099
F21,2015-01-23,2015-07-01,107,48.80884817015158,46.52,0.1195
F21,2015-01-23,2016-01-01,235,48.80884817015158,43.93,0.1195
F21,2015-01-23,2016-07-01,359,48.80884817015158,41.56,0.1195
F21,2015-01-23,2017-01-01,486,48.80884817015158,39.26,0.1195
F21,2015-01-23,2017-07-01,610,48.80884817015158,37.14,0.1195
F21,2015-01-23,2018-01-01,735,48.80884817015158,35.12,0.1195
F21,2015-01-23,2018-07-01,859,48.80884817015158,33.22,0.1195
F21,2015-01-23,2019-01-01,985,48.80884817015158,31.4,0.1195
F21,2015-01-23,2019-07-01,1108,48.80884817015158,29.71,0.1195
F21,2015-01-23,2020-01-01,1238,48.80884817015158,28.03,0.1195
F21,2015-01-23,2020-07-01,1361,48.80884817015158,26.53,0.1195
F21,2015-01-23,2021-01-01,1489,48.80884817015158,25.05,0.1195
F21,2015-01-23,2021-01-01,1489,1000.0,513.25,0.1195
F25,2015-01-23,2015-07-01,107,48.80884817015158,46.53,0.118949
F25,2015-01-23,2016-01-01,235,48.80884817015158,43.95,0.118949
F25,2015-01-23,2016-07-01,359,48.80884817015158,41.59,0.118949
F25,2015-01-23,2017-01-01,486,48.80884817015158,39.3,0.118949
F25,2015-01-23,2017-07-01,610,48.80884817015158,37.18,0.118949
F25,2015-01-23,2018-01-01,735,48.80884817015158,35.17,0.118949
F25,2015-01-23,2018-07-01,859,48.80884817015158,33.27,0.118949
F25,2015-01-23,2019-01-01,985,48.80884817015158,31.46,0.118949
F25,2015-01-23,2019-07-01,1108,48.80884817015158,29.78,0.118949
F25,2015-01-23,2020-01-01,1238,48.80884817015158,28.1,0.118949
F25,2015-01-23,2020-07-01,1361,48.80884817015158,26.6,0.118949
F25,2015-01-23,2021-01-01,1489,48.80884817015158,25.12,0.118949
F25,2015-01-23,2021-07-01,1612,48.80884817015158,23.78,0.118949
F25,2015-01-23,2022-01-01,1740,48.80884817015158,22.46,0.118949
F25,2015-01-23,2022-07-01,1864,48.80884817015158,21.25,0.118949
F25,2015-01-23,2023-01-01,1991,48.80884817015158,20.08,0.118949
F25,2015-01-23,2023-07-01,2115,48.80884817015158,19.0,0.118949
F25,2015-01-23,2024-01-01,2240,48.80884817015158,17.97,0.118949
F25,2015-01-23,2024-07-01,2364,48.80884817015158,17.01,0.118949
F25,2015-01-23,2025-01-01,2494,48.80884817015158,16.05,0.118949
F25,2015-01-23,2025-01-01,2494,1000.0,328.8,0.118949
F19,2015-01-29,2015-07-01,103,48.80884817015158,48.81,0.0
F19,2015-01-29,2016-01-01,231,48.80884817015158,48.81,0.0
F19,2015-01-29,2016-07-01,355,48.80884817015158,48.81,0.0
F19,2015-01-29,2017-01-01,482,48.80884817015158,48.81,0.0
F19,2015-01-29,2017-07-01,606,48.80884817015158,48.81,0.0
F19,2015-01-29,2018-01-01,731,48.80884817015158,48.81,0.0
F19,2015-01-29,2018-07-01,855,48.80884817015158,48.81,0.0
F19,2015-01-29,2019-01-01,981,48.80884817015158,48.81,0.0
F19,2015-01-29,2019-01-01,981,1000.0,1000.0,0.0
F21,2015-02-06,2015-07-01,97,48.80884817015158,46.67,0.123449
F21,2015-02-06,2016-01-01,225,48.80884817015158,43.99,0.123449
F21,2015-02-06,2016-07-01,349,48.80884817015158,41.54,0.123449
F21,2015-02-06,2017-01-01,476,48.80884817015158,39.17,0.123449
F21,2015-02-06,2017-07-01,600,48.80884817015158,36.99,0.123449
F21,2015-02-06,2018-01-01,725,48.80884817015158,34.92,0.123449
F21,2015-02-06,2018-07-01,849,48.80884817015158,32.97,0.123449
F21,2015-02-06,2019-01-01,975,48.80884817015158,31.11,0.123449
F21,2015-02-06,2019-07-01,1098,48.80884817015158,29.39,0.123449
F21,2015-02-06,2020-01-01,1228,48.80884817015158,27.68,0.123449
F21,2015-02-06,2020-07-01,1351,48.80884817015158,26.15,0.123449
F21,2015-02-06,2021-01-01,1479,48.80884817015158,24.65,0.123449
F21,2015-02-06,2021-01-01,1479,1000.0,505.01,0.123449
F25,2015-02-06,2015-07-01,97,48.80884817015158,46.69,0.122499
F25,2015-02-06,2016-01-01,225,48.80884817015158,44.02,0.122499
F25,2015-02-06,2016-07-01,349,48.80884817015158,41.59,0.122499
F25,2015-02-06,2017-01-01,476,48.80884817015158,39.24,0.122499
F25,2015-02-06,2017-07-01,600,48.80884817015158,37.07,0.122499
F25,2015-02-06,2018-01-01,725,48.80884817015158,35.0,0.122499
F25,2015-02-06,2018-07-01,849,48.80884817015158,33.07,0.122499
F25,2015-02-06,2019-01-01,975,48.80884817015158,31.21,0.122499
F25,2015-02-06,2019-07-01,1098,48.80884817015158,29.5,0.122499
F25,2015-02-06,2020-01-01,1228,48.80884817015158,27.79,0.122499
F25,2015-02-06,2020-07-01,1351,48.80884817015158,26.27,0.122499
F25,2015-02-06,2021-01-01,1479,48.80884817015158,24.77,0.122499
F25,2015-02-06,2021-07-01,1602,48.80884817015158,23.41,0.122499
F25,2015-02-06,2022-01-01,1730,48.80884817015158,22.08,0.122499
F25,2015-02-06,2022-07-01,1854,48.80884817015158,20.86,0.122499
F25,2015-02-06,2023-01-01,1981,48.80884817015158,19.68,0.122499
F25,2015-02-06,2023-07-01,2105,48.80884817015158,18.59,0.122499
F25,2015-02-06,2024-01-01,2230,48.80884817015158,17.55,0.122499
F25,2015-02-06,2024-07-01,2354,48.80884817015158,16.58,0.122499
F25,2015-02-06,2025-01-01,2484,48.80884817015158,15.62,0.122499
F25,2015-02-06,2025-01-01,2484,1000.0,320.12,0.122499
F25,2015-02-20,2015-07-01,89,48.80884817015158,46.78,0.12774
F25,2015-02-20,2016-01-01,217,48.80884817015158,44.01,0.12774
F25,2015-02-20,2016-07-01,341,48.80884817015158,41.48,0.12774
F25,2015-02-20,2017-01-01,468,48.80884817015158,39.04,0.12774
F25,2015-02-20,2017-07-01,592,48.80884817015158,36.8,0.12774
F25,2015-02-20,2018-01-01,717,48.80884817015158,34.67,0.12774
F25,2015-02-20,2018-07-01,841,48.80884817015158,32.68,0.12774
F25,2015-02-20,2019-01-01,967,48.80884817015158,30.77,0.12774
F25,2015-02-20,2019-07-01,1090,48.80884817015158,29.02,0.12774
